countyname,neighborname
AL,AL
AL,GA
AL,MS
AL,FL
AL,TN
AK,AK
AZ,AZ
AZ,CO
AZ,NM
AZ,UT
AZ,CA
AZ,NV
AR,AR
AR,LA
AR,MO
AR,OK
AR,MS
AR,TN
AR,TX
CA,CA
CA,OR
CA,NV
CA,AZ
CO,CO
CO,NM
CO,KS
CO,OK
CO,UT
CO,WY
CO,NE
CO,AZ
CT,CT
CT,NY
CT,MA
CT,RI
DE,DE
DE,MD
DE,NJ
DE,PA
FL,FL
FL,GA
FL,AL
GA,GA
GA,FL
GA,TN
GA,SC
GA,AL
GA,NC
HI,HI
ID,ID
ID,OR
ID,UT
ID,WY
ID,WA
ID,MT
ID,NV
IL,IL
IL,MO
IL,KY
IL,WI
IL,IA
IL,IN
IL,MI
IN,IN
IN,OH
IN,IL
IN,KY
IN,MI
IA,IA
IA,MN
IA,WI
IA,MO
IA,IL
IA,NE
IA,SD
KS,KS
KS,MO
KS,OK
KS,NE
KS,CO
KY,KY
KY,TN
KY,IL
KY,MO
KY,VA
KY,IN
KY,OH
KY,WV
LA,LA
LA,TX
LA,AR
LA,MS
ME,ME
ME,NH
MD,MD
MD,PA
MD,WV
MD,DE
MD,VA
MD,DC
MA,MA
MA,CT
MA,NY
MA,VT
MA,RI
MA,NH
MI,MI
MI,IL
MI,WI
MI,IN
MI,OH
MN,MN
MN,SD
MN,WI
MN,ND
MN,MI
MN,IA
MS,MS
MS,LA
MS,TN
MS,AR
MS,AL
MO,MO
MO,IA
MO,KS
MO,NE
MO,AR
MO,IL
MO,OK
MO,KY
MO,TN
MT,MT
MT,ID
MT,WY
MT,SD
MT,ND
NE,NE
NE,SD
NE,IA
NE,CO
NE,KS
NE,WY
NE,MO
NV,NV
NV,AZ
NV,CA
NV,ID
NV,UT
NV,OR
NH,NH
NH,ME
NH,MA
NH,VT
NJ,NJ
NJ,NY
NJ,PA
NJ,DE
NM,NM
NM,AZ
NM,CO
NM,TX
NM,UT
NM,OK
NY,NY
NY,PA
NY,NJ
NY,VT
NY,MA
NY,CT
NY,RI
NC,NC
NC,VA
NC,SC
NC,TN
NC,GA
ND,ND
ND,SD
ND,MT
ND,MN
OH,OH
OH,KY
OH,PA
OH,WV
OH,IN
OH,MI
OK,OK
OK,AR
OK,KS
OK,TX
OK,CO
OK,NM
OK,MO
OR,OR
OR,ID
OR,WA
OR,CA
OR,NV
PA,PA
PA,MD
PA,OH
PA,WV
PA,NY
PA,NJ
PA,DE
RI,RI
RI,MA
RI,CT
RI,NY
SC,SC
SC,GA
SC,NC
SD,SD
SD,NE
SD,MN
SD,ND
SD,MT
SD,WY
SD,IA
TN,TN
TN,NC
TN,GA
TN,KY
TN,VA
TN,AR
TN,MO
TN,MS
TN,AL
TX,TX
TX,NM
TX,AR
TX,OK
TX,LA
UT,UT
UT,NV
UT,ID
UT,CO
UT,WY
UT,AZ
UT,NM
VT,VT
VT,NY
VT,MA
VT,NH
VA,VA
VA,MD
VA,WV
VA,DC
VA,NC
VA,KY
VA,TN
WA,WA
WA,ID
WA,OR
WV,WV
WV,MD
WV,VA
WV,OH
WV,PA
WV,KY
WI,WI
WI,MI
WI,MN
WI,IA
WI,IL
WY,WY
WY,CO
WY,MT
WY,SD
WY,NE
WY,ID
WY,UT
AS,AS
GU,GU
MP,MP
PR,PR
VI,VI
